Ngày,Check-in,Check-out,Giờ làm (h),Trạng thái
2025-05-03|2025-05-03 22:57:33|2025-05-03 23:10:12|0.210833|Đã ra
2025-05-03,2025-05-03 23:19:48,2025-05-03 23:24:12,0.284167,Đã ra
